slug,name,category,homepage
basel-precision-instruments,Basel Precision Instruments,private_company,https://www.baspi.ch/
basel-quantum-center,Basel Quantum Center at the University of Basel,university_or_research_hub,https://quantum.unibas.ch/
cern-quantum-technology-initiative,Quantum Technology Initiative at CERN,university_or_research_hub,https://quantum.cern/index.php/news-events
cscs,Swiss National Supercomputing Center (CSCS),university_or_research_hub,https://www.cscs.ch/publications/all-publications
csem,CSEM,private_company,https://www.csem.ch/
empa,Swiss Federal Laboratories for Materials Science and Technology (Empa),university_or_research_hub,https://www.empa.ch/web/s604/news-portal
epfl-qse,Quantum Science and Engineering Center at EPFL,university_or_research_hub,https://www.epfl.ch/research/domains/quantum-center/center-for-quantum-science-and-engineering/news/
eth-psi-quantum-computing-hub,ETH-PSI Quantum Computing Hub,university_or_research_hub,https://qc.ethz.ch/news-events.html
eth-zurich-quantum-center,ETH Zurich Quantum Center,university_or_research_hub,https://qc.ethz.ch/
femtoprint,FEMTOprint,private_company,https://www.femtoprint.ch/
fhnw,University of Applied Sciences Northwestern Switzerland (FHNW),university_or_research_hub,https://www.fhnw.ch/de/aktuelles/news-storys
geneva-quantum-centre,Geneva Quantum Centre at the University of Geneva,university_or_research_hub,https://www.unige.ch/gap/qic/qtech/news
gesda,The Geneva Science and Diplomacy Anticipator (GESDA),ecosystem_builder,https://gesda.global/
hslu,Lucerne University of Applied Sciences and Arts (HSLU),university_or_research_hub,https://news.hslu.ch/
huber-suhner,HUBER + SUHNER,private_company,https://www.hubersuhner.com/
ibm-research-zurich,IBM Research,private_company,https://www.research.ibm.com/labs/zurich
id-quantique,ID Quantique,private_company,https://www.idquantique.com/
ionq,IonQ,private_company,https://ionq.com/
ligentec,Ligentec,private_company,https://www.ligentec.com/
metas,Federal Institute of Metrology (METAS),national_initiative,https://www.metas.ch/
miraex,Miraex,private_company,https://miraex.com/
nccr-spin,National Centre for Competence in Research SPIN,national_initiative,https://www.nccr-spin.ch/news
open-quantum-institute-cern,Open Quantum Institute at CERN,ecosystem_builder,https://gesda.global/oqi
psi,Paul Scherrer Institute (PSI),university_or_research_hub,https://www.psi.ch/de/news
qai-ventures,QAI Ventures,ecosystem_builder,https://qai.ventures/
qnami,Qnami,private_company,https://qnami.ch/
quantumbasel,QuantumBasel,ecosystem_builder,https://quantumbasel.com/
qzabre,QZabre,private_company,https://qzabre.com/
swiss-nanoscience-institute,Swiss Nanoscience Institute,university_or_research_hub,https://nanoscience.ch/
swiss-quantum-initiative,Swiss Quantum Initiative,national_initiative,https://quantum.scnat.ch/en/news_and_events
swissnex,Swissnex,government,https://swissnex.org/
swissphotonics,Swissphotonics,private_company,https://www.swissphotonics.net/
switzerland-innovation-parks,Switzerland Innovation Parks,ecosystem_builder,https://www.switzerland-innovation.com/
terra-quantum,Terra Quantum,private_company,https://terraquantum.swiss/
usi,University of Lugano (USI),university_or_research_hub,https://www.usi.ch/en/news-events/news
verve-ventures,Verve Ventures,ecosystem_builder,https://www.verveventures.com/
yquantum,YQuantum,private_company,
zhaw,Zurich University of Applied Sciences (ZHAW),university_or_research_hub,https://www.zhaw.ch/de/ueber-uns/aktuell/news
zurich-instruments,Zurich Instruments,private_company,https://www.zhinst.com/
zuriq,ZuriQ,private_company,https://zuriq.com/
