actor,jaccard,n_a,n_b,intersection,union,basis
basel-precision-instruments,0.0,4,31,0,35,as recorded
basel-quantum-center,0.03333333333333333,2,29,1,30,as recorded
cern-quantum-technology-initiative,0.0,5,24,0,29,as recorded
cscs,0.0,3,13,0,16,as recorded
csem,0.07692307692307693,4,10,1,13,as recorded
empa,0.25,3,7,2,8,as recorded
epfl-qse,0.0,1,26,0,27,as recorded
eth-psi-quantum-computing-hub,0.0,1,13,0,14,as recorded
eth-zurich-quantum-center,0.0,2,20,0,22,as recorded
femtoprint,0.125,2,7,1,8,as recorded
fhnw,0.0,6,5,0,11,as recorded
geneva-quantum-centre,0.0,4,11,0,15,as recorded
gesda,0.0,4,21,0,25,as recorded
hslu,0.0,4,2,0,6,as recorded
huber-suhner,0.0,3,3,0,6,as recorded
ibm-research-zurich,0.0,1,12,0,13,as recorded
id-quantique,0.041666666666666664,6,19,1,24,as recorded
ionq,0.0,6,21,0,27,as recorded
ligentec,0.0,3,6,0,9,as recorded
metas,0.0,4,15,0,19,as recorded
miraex,0.08333333333333333,4,9,1,12,as recorded
nccr-spin,0.0,4,30,0,34,as recorded
open-quantum-institute-cern,0.0,6,10,0,16,as recorded
psi,0.0625,3,14,1,16,as recorded
qai-ventures,0.0,3,12,0,15,as recorded
qnami,0.0,5,7,0,12,as recorded
quantumbasel,0.0,5,11,0,16,as recorded
qzabre,0.1111111111111111,6,4,1,9,as recorded
swiss-nanoscience-institute,0.0,1,21,0,22,as recorded
swiss-quantum-initiative,0.038461538461538464,3,24,1,26,as recorded
swissnex,0.0,2,10,0,12,as recorded
swissphotonics,0.06666666666666667,5,11,1,15,as recorded
switzerland-innovation-parks,0.0,4,9,0,13,as recorded
terra-quantum,0.07692307692307693,3,11,1,13,as recorded
usi,0.14285714285714285,4,4,1,7,as recorded
verve-ventures,0.0,1,10,0,11,as recorded
yquantum,0.0,0,2,0,2,as recorded
zhaw,0.0,6,10,0,16,as recorded
zurich-instruments,0.0,4,9,0,13,as recorded
zuriq,0.13333333333333333,4,13,2,15,as recorded
basel-precision-instruments,0.0,4,1,0,5,canonical only
basel-quantum-center,0.3333333333333333,2,2,1,3,canonical only
cern-quantum-technology-initiative,0.0,5,2,0,7,canonical only
cscs,0.0,3,1,0,4,canonical only
csem,0.2,4,2,1,5,canonical only
empa,0.6666666666666666,3,2,2,3,canonical only
epfl-qse,0.0,1,1,0,2,canonical only
eth-psi-quantum-computing-hub,0.0,1,1,0,2,canonical only
eth-zurich-quantum-center,0.0,2,2,0,4,canonical only
femtoprint,0.3333333333333333,2,2,1,3,canonical only
fhnw,0.0,6,1,0,7,canonical only
geneva-quantum-centre,0.0,4,0,0,4,canonical only
gesda,0.0,4,0,0,4,canonical only
hslu,0.0,4,0,0,4,canonical only
huber-suhner,0.0,3,0,0,3,canonical only
ibm-research-zurich,0.0,1,2,0,3,canonical only
id-quantique,0.16666666666666666,6,1,1,6,canonical only
ionq,0.0,6,2,0,8,canonical only
ligentec,0.0,3,0,0,3,canonical only
metas,0.0,4,1,0,5,canonical only
miraex,0.25,4,1,1,4,canonical only
nccr-spin,0.0,4,1,0,5,canonical only
open-quantum-institute-cern,0.0,6,0,0,6,canonical only
psi,0.25,3,2,1,4,canonical only
qai-ventures,0.0,3,0,0,3,canonical only
qnami,0.0,5,0,0,5,canonical only
quantumbasel,0.0,5,1,0,6,canonical only
qzabre,0.16666666666666666,6,1,1,6,canonical only
swiss-nanoscience-institute,0.0,1,1,0,2,canonical only
swiss-quantum-initiative,0.25,3,2,1,4,canonical only
swissnex,0.0,2,0,0,2,canonical only
swissphotonics,0.16666666666666666,5,2,1,6,canonical only
switzerland-innovation-parks,0.0,4,0,0,4,canonical only
terra-quantum,0.3333333333333333,3,1,1,3,canonical only
usi,0.25,4,1,1,4,canonical only
verve-ventures,0.0,1,0,0,1,canonical only
zhaw,0.0,6,1,0,7,canonical only
zurich-instruments,0.0,4,0,0,4,canonical only
zuriq,0.5,4,2,2,4,canonical only
